id,callnumber,mainentry,isbn,title,author,placeofpublication,publisher,year,edition,physicaldesc,series,notesarea,subject,addedentry,price,copies,date,note,source
677,,,,???? ?????? ????? ??????? bilughat alsaalik li'aqrab almasalik,????? ???? ?????? alshaykh 'ahmad alsaawy,?????-?????,??? ????? ???????,1995,e1 j2,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
678,,,,???? ?????? ????? ??????? bilughat alsaalik li'aqrab almasalik,????? ???? ?????? alshaykh 'ahmad alsaawy,?????-?????,??? ????? ???????,1995,e1 j3,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
679,,,,???? ?????? ????? ??????? bilughat alsaalik li'aqrab almasalik,????? ???? ?????? alshaykh 'ahmad alsaawy,?????-?????,??? ????? ???????,1995,e1 j4,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
680,,,,"?????? ??????? ???? ????? ???????? qararat watawsiat majmae alfiqh alaslamii
",?. ???? ?????? ??? ?????? Dr. Muhammad al-Habib Ibn al-Khoja,????,??? ?????,1998,e2,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
681,,,,???? ???? ????? ???????? Jurnal Akademi Fiqh Islam,?. ???? ?????? ??? ?????? Dr. Muhammad al-Habib Ibn al-Khoja,,????? ??????? ???????? Pertubuhan Persidangan Islam,1986,b1,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
682,,,,???? ???? ????? ???????? Jurnal Akademi Fiqh Islam,?. ???? ?????? ??? ?????? Dr. Muhammad al-Habib Ibn al-Khoja,,????? ??????? ???????? Pertubuhan Persidangan Islam,1994,b8 j1,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
683,,,,???? ???? ????? ???????? Jurnal Akademi Fiqh Islam,?. ???? ?????? ??? ?????? Dr. Muhammad al-Habib Ibn al-Khoja,,????? ??????? ???????? Pertubuhan Persidangan Islam,1997,b10 j1,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
684,,,,???? ???? ????? ???????? Jurnal Akademi Fiqh Islam,?. ???? ?????? ??? ?????? Dr. Muhammad al-Habib Ibn al-Khoja,,????? ??????? ???????? Pertubuhan Persidangan Islam,1998,b11 j1,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
685,,,,???? ???? ????? ???????? Jurnal Akademi Fiqh Islam,?. ???? ?????? ??? ?????? Dr. Muhammad al-Habib Ibn al-Khoja,,????? ??????? ???????? Pertubuhan Persidangan Islam,1986,b2 j2,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
686,,,,???? ???? ????? ???????? Jurnal Akademi Fiqh Islam,?. ???? ?????? ??? ?????? Dr. Muhammad al-Habib Ibn al-Khoja,,????? ??????? ???????? Pertubuhan Persidangan Islam,1988,b4 j2,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
687,,,,???? ???? ????? ???????? Jurnal Akademi Fiqh Islam,?. ???? ?????? ??? ?????? Dr. Muhammad al-Habib Ibn al-Khoja,,????? ??????? ???????? Pertubuhan Persidangan Islam,1990,b6 j2,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
688,,,,???? ???? ????? ???????? Jurnal Akademi Fiqh Islam,?. ???? ?????? ??? ?????? Dr. Muhammad al-Habib Ibn al-Khoja,,????? ??????? ???????? Pertubuhan Persidangan Islam,1992,b7 j2,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
